Neighborhood,Municipality,Year,Age,Gender,StrugglingMakeEnds,ReceivesSupportFromOthers,VolunteerWork,Caregiver,FragileHealthSocialDomain,HighRiskAnxietyDisorderOrDepression,LowResilience,ModerateControlOverMyOwnLife,VeryMuchStressLast4Weeks,SuicideThoughtsLast12Months,GoodExperiencedHealth,MovementImpairment,HearingImpairment,WeeklyExercising,Lonely_25,SeverelyLonely_26,EmotionallyLonely_27,SociallyLonely_28
Stadsdriehoek,Rotterdam,2018,45-54,Male,15.0,10.0,37.2,23.4,14.9,9.8,12.7,66.4,21.1,2.0,70.6,13.7,8.9,55.7,55.1,12.3,25.6,30.4
Stadsdriehoek,Rotterdam,2018,45-54,Female,16.2,13.3,34.5,26.6,15.1,11.2,13.3,64.8,22.5,1.9,69.7,14.5,8.2,52.3,56.6,11.2,30.0,32.1
Stadsdriehoek,Rotterdam,2019,45-54,Male,15.3,10.6,36.6,23.8,14.6,9.3,12.8,66.0,21.6,2.0,70.7,12.9,8.6,55.2,52.8,9.4,24.5,27.4
Stadsdriehoek,Rotterdam,2019,45-54,Female,16.7,13.9,34.5,26.1,15.0,11.0,13.2,64.6,22.4,1.8,69.4,14.7,7.7,51.5,57.2,12.0,28.5,29.2
Stadsdriehoek,Rotterdam,2020,45-54,Male,15.7,10.7,36.4,23.7,14.2,9.5,12.7,66.6,21.3,2.3,70.3,13.1,8.6,55.3,52.2,11.2,24.7,27.1
Stadsdriehoek,Rotterdam,2020,45-54,Female,16.0,13.9,34.4,26.2,15.7,11.4,13.8,65.0,22.4,1.7,69.3,14.6,8.3,52.3,57.4,14.2,30.1,32.1
Stadsdriehoek,Rotterdam,2021,45-54,Male,15.5,10.8,36.6,23.7,14.6,10.0,12.6,66.4,21.0,1.7,71.0,13.5,8.3,55.1,53.4,10.1,24.9,29.4
Stadsdriehoek,Rotterdam,2021,45-54,Female,16.6,13.8,35.1,26.3,15.3,11.5,13.8,64.5,22.3,2.6,69.7,14.8,8.5,52.1,56.2,10.5,29.1,30.9
Stadsdriehoek,Rotterdam,2022,45-54,Male,15.1,10.2,36.6,23.5,14.4,9.3,12.3,66.4,21.5,2.1,70.6,13.4,8.7,55.6,54.4,9.8,26.1,29.5
Stadsdriehoek,Rotterdam,2022,45-54,Female,16.6,13.9,34.3,26.0,15.2,11.6,13.4,64.3,22.3,2.1,69.1,15.1,8.3,51.5,55.5,13.0,30.3,31.2
Stadsdriehoek,Rotterdam,2018,55-64,Male,15.2,10.9,36.3,23.1,17.4,8.4,12.6,65.1,19.2,2.6,67.7,18.6,11.7,54.0,59.5,15.0,27.7,33.5
Stadsdriehoek,Rotterdam,2018,55-64,Female,15.9,13.6,33.8,25.2,18.8,11.0,13.8,63.9,20.2,3.0,66.6,19.6,11.8,49.9,60.4,14.4,31.7,33.4
Stadsdriehoek,Rotterdam,2019,55-64,Male,15.5,10.5,36.8,22.6,18.0,9.2,12.2,64.5,18.6,1.8,67.7,18.0,11.5,53.7,57.3,16.0,27.2,31.9
Stadsdriehoek,Rotterdam,2019,55-64,Female,15.6,14.0,33.6,25.4,18.6,11.1,13.1,64.6,20.1,2.1,67.1,19.8,11.9,49.9,62.0,13.4,32.1,34.0
Stadsdriehoek,Rotterdam,2020,55-64,Male,14.6,10.7,36.3,23.4,18.0,9.3,12.6,65.2,19.0,2.0,68.2,18.5,12.3,53.2,58.1,14.7,28.4,32.8
Stadsdriehoek,Rotterdam,2020,55-64,Female,15.1,13.6,33.7,25.3,19.0,11.0,13.5,64.7,20.2,3.1,66.5,20.0,11.7,50.2,60.1,17.1,30.1,31.7
Stadsdriehoek,Rotterdam,2021,55-64,Male,14.7,10.2,36.5,23.3,17.8,8.7,12.1,64.2,18.8,2.5,68.5,17.7,11.9,53.8,58.1,12.3,28.0,31.8
Stadsdriehoek,Rotterdam,2021,55-64,Female,15.6,13.6,33.4,24.8,19.3,10.8,13.9,64.4,19.4,2.4,67.1,19.7,11.3,50.5,60.6,10.7,32.0,32.1
Stadsdriehoek,Rotterdam,2022,55-64,Male,15.0,10.2,36.7,22.6,17.6,8.4,12.6,64.5,19.1,1.9,67.6,18.3,12.2,53.2,59.0,11.6,29.2,33.5
Stadsdriehoek,Rotterdam,2022,55-64,Female,15.0,13.4,33.1,24.7,18.7,11.3,13.6,64.4,20.0,3.0,67.2,20.1,12.0,50.1,60.6,12.2,30.5,33.6
Cool,Rotterdam,2018,18-24,Male,24.7,17.7,21.8,12.7,16.8,19.2,21.6,56.3,30.9,4.7,71.2,9.5,6.8,52.7,62.0,12.1,44.3,41.3
Cool,Rotterdam,2018,18-24,Female,26.3,20.0,19.0,15.9,18.2,20.2,22.2,55.4,32.9,5.2,69.8,11.5,6.1,49.6,62.0,15.1,43.2,41.1
Cool,Rotterdam,2019,18-24,Male,25.0,17.6,22.7,12.8,16.9,19.2,22.3,56.4,31.2,4.9,70.2,9.4,6.8,53.3,62.0,14.1,41.8,40.7
Cool,Rotterdam,2019,18-24,Female,26.9,19.7,19.1,15.6,17.6,20.1,22.8,55.6,32.8,5.8,70.3,11.6,5.9,49.8,62.0,17.0,42.9,40.8
Cool,Rotterdam,2020,18-24,Male,25.4,17.7,22.0,12.8,17.4,18.2,22.4,56.6,31.2,4.7,70.8,9.5,6.3,52.7,62.0,12.9,43.5,41.1
Cool,Rotterdam,2020,18-24,Female,26.6,19.6,19.9,15.3,17.6,19.9,23.1,54.8,33.4,5.9,69.8,10.8,6.5,49.5,62.0,13.3,45.9,39.8
Cool,Rotterdam,2021,18-24,Male,25.4,17.3,22.3,12.4,16.9,18.6,22.3,56.6,30.9,5.0,70.8,9.8,6.3,52.8,62.0,15.3,43.9,39.6
Cool,Rotterdam,2021,18-24,Female,27.0,19.1,19.1,15.9,17.7,20.6,22.9,55.2,33.2,5.2,70.3,10.7,6.4,50.2,62.0,12.1,46.2,40.9
Cool,Rotterdam,2022,18-24,Male,24.8,17.8,22.0,12.6,16.9,18.7,22.5,56.4,31.2,5.1,70.2,10.1,6.8,53.4,62.0,16.4,42.1,39.7
Cool,Rotterdam,2022,18-24,Female,26.8,19.4,19.5,15.2,18.0,20.1,22.6,55.6,32.9,6.0,70.0,11.4,6.3,49.7,62.0,15.1,43.5,41.3
Cool,Rotterdam,2018,25-34,Male,24.0,14.9,23.2,15.7,16.3,17.5,20.5,59.5,30.1,3.8,68.9,12.1,7.5,51.5,62.0,13.6,40.9,41.1
Cool,Rotterdam,2018,25-34,Female,25.1,18.6,21.1,17.5,18.4,19.2,21.1,58.4,32.5,4.9,67.0,12.8,7.2,48.7,62.0,16.1,44.0,39.9
Cool,Rotterdam,2019,25-34,Male,24.4,14.9,24.1,15.4,16.8,17.8,19.8,59.1,30.3,3.9,68.3,11.7,7.5,51.3,62.0,12.8,41.2,41.1
Cool,Rotterdam,2019,25-34,Female,25.2,17.9,21.2,17.5,17.9,19.7,21.5,59.0,32.5,4.5,67.5,12.8,7.4,49.0,62.0,17.8,44.5,41.1
Cool,Rotterdam,2020,25-34,Male,23.7,15.2,23.4,15.0,16.3,17.5,20.4,58.9,29.7,4.7,68.9,11.9,7.2,51.6,62.0,17.5,40.0,41.1
Cool,Rotterdam,2020,25-34,Female,25.4,18.8,21.4,17.9,18.3,19.1,21.4,58.6,32.4,4.4,67.7,13.3,7.3,48.4,62.0,14.8,41.3,39.1
Cool,Rotterdam,2021,25-34,Male,24.5,14.8,23.6,14.9,17.0,17.4,20.1,59.2,30.4,4.6,68.7,11.8,7.2,51.0,62.0,16.1,39.4,41.9
Cool,Rotterdam,2021,25-34,Female,25.6,18.4,20.9,17.3,18.2,19.2,21.5,58.4,32.2,4.8,67.7,12.9,7.4,49.0,62.0,13.7,43.7,39.2
Cool,Rotterdam,2022,25-34,Male,24.1,14.9,23.8,15.2,16.2,17.2,20.2,59.7,30.7,4.6,68.8,12.2,7.4,51.6,62.0,17.4,41.9,41.9
Cool,Rotterdam,2022,25-34,Female,25.7,18.3,21.5,17.6,17.5,19.6,21.1,58.8,32.3,4.5,67.3,13.2,7.8,48.2,62.0,16.2,43.9,40.9
Cool,Rotterdam,2018,35-44,Male,23.8,15.0,26.5,20.1,18.7,15.9,19.2,60.8,28.6,3.5,65.9,14.5,9.6,49.9,62.0,15.2,38.4,37.1
Cool,Rotterdam,2018,35-44,Female,24.0,17.2,24.6,22.3,19.1,18.0,20.5,60.0,31.2,3.6,65.0,16.7,9.4,46.9,62.0,17.2,41.6,39.8
Cool,Rotterdam,2019,35-44,Male,24.0,14.7,27.0,20.1,18.0,15.6,19.1,60.6,29.3,3.4,66.4,14.1,9.3,49.9,62.0,12.4,39.5,36.7
Cool,Rotterdam,2019,35-44,Female,24.1,17.1,24.3,23.0,19.0,17.9,19.8,59.5,30.8,4.1,65.1,16.6,9.0,46.3,62.0,15.8,41.2,38.8
Cool,Rotterdam,2020,35-44,Male,24.3,14.9,27.2,19.5,18.7,15.3,19.5,60.5,28.5,3.4,66.5,15.0,8.9,49.1,62.0,17.6,38.9,39.2
Cool,Rotterdam,2020,35-44,Female,23.8,17.3,24.9,22.4,19.3,17.7,20.1,59.5,30.9,3.6,64.3,16.6,9.4,46.2,62.0,11.6,41.8,38.1
Cool,Rotterdam,2021,35-44,Male,23.6,14.9,26.4,19.8,18.0,15.8,19.5,60.5,29.2,3.4,65.8,14.3,8.8,49.8,61.4,15.0,39.6,39.4
Cool,Rotterdam,2021,35-44,Female,24.6,17.4,24.0,22.5,19.3,17.5,19.9,59.9,30.8,4.3,64.9,16.7,9.4,46.2,62.0,12.4,40.1,37.9
Cool,Rotterdam,2022,35-44,Male,24.1,14.4,27.1,20.0,18.3,15.8,19.6,60.5,28.7,3.5,65.9,14.8,9.0,49.0,60.1,11.0,37.5,36.9
Cool,Rotterdam,2022,35-44,Female,23.8,17.4,24.8,23.0,19.0,18.0,20.6,59.6,30.6,4.0,65.2,16.2,8.8,46.4,62.0,15.8,41.4,39.0
Cool,Rotterdam,2018,45-54,Male,23.3,14.0,28.4,23.0,20.9,15.2,18.9,59.4,26.4,3.7,62.9,19.8,13.2,47.8,62.0,13.2,38.7,36.2
Cool,Rotterdam,2018,45-54,Female,23.9,16.3,26.3,25.4,21.5,16.9,19.1,58.4,28.0,4.2,62.2,20.4,11.5,44.8,62.0,17.0,40.1,38.1
Cool,Rotterdam,2019,45-54,Male,23.4,14.0,28.2,22.2,20.0,15.1,18.8,59.4,26.9,3.5,63.3,20.0,12.5,47.8,62.0,12.0,39.5,36.5
Cool,Rotterdam,2019,45-54,Female,23.3,16.9,25.7,25.3,21.7,16.7,19.4,58.9,28.8,3.9,61.9,20.5,11.5,44.9,62.0,14.7,40.8,38.3
Cool,Rotterdam,2020,45-54,Male,23.4,13.6,28.9,22.8,20.3,14.6,18.1,59.7,26.5,3.7,63.6,19.3,12.6,48.0,62.0,14.0,36.3,38.6
Cool,Rotterdam,2020,45-54,Female,24.1,17.1,26.1,25.2,22.0,16.8,19.1,58.8,28.8,3.5,61.9,21.2,12.2,44.8,62.0,12.3,41.0,38.6
Cool,Rotterdam,2021,45-54,Male,23.5,13.5,28.1,22.3,20.5,15.4,18.5,59.5,26.9,3.3,62.9,19.2,12.7,48.3,62.0,14.8,38.0,38.4
Cool,Rotterdam,2021,45-54,Female,23.9,16.3,25.8,25.4,21.9,16.3,19.5,58.0,28.1,3.8,62.3,20.4,12.1,45.5,62.0,15.5,40.9,38.5
Cool,Rotterdam,2022,45-54,Male,23.6,14.1,29.0,22.3,20.8,15.2,18.8,59.6,26.7,3.3,62.8,19.6,12.6,47.5,62.0,12.2,38.4,37.6
Cool,Rotterdam,2022,45-54,Female,24.1,16.3,25.6,25.5,21.9,16.5,18.9,58.2,28.3,4.1,62.4,21.0,12.3,45.4,62.0,15.1,37.7,37.9
Cool,Rotterdam,2018,55-64,Male,23.2,14.6,28.9,21.6,23.6,13.8,18.2,58.2,24.7,2.4,60.8,24.9,16.1,46.2,62.0,11.9,36.8,36.9
Cool,Rotterdam,2018,55-64,Female,23.7,17.7,26.1,24.1,25.0,14.9,18.6,57.0,26.2,3.3,59.6,26.9,15.9,43.2,62.0,17.6,38.8,36.9
Cool,Rotterdam,2019,55-64,Male,22.8,14.7,28.2,22.2,23.2,13.5,18.0,57.8,24.7,3.2,60.2,25.2,16.6,46.5,62.0,12.5,37.8,38.5
Cool,Rotterdam,2019,55-64,Female,23.4,16.8,25.6,24.0,24.9,15.6,19.4,56.9,26.8,3.4,59.3,27.1,16.7,43.7,62.0,17.6,39.9,37.9
Cool,Rotterdam,2020,55-64,Male,23.5,13.8,28.4,21.5,23.9,14.0,18.6,57.6,24.8,2.7,60.5,24.7,16.8,46.2,62.0,13.3,36.0,39.2
Cool,Rotterdam,2020,55-64,Female,23.4,17.0,26.1,23.9,24.6,15.4,18.7,57.7,26.1,2.8,59.6,26.2,16.2,42.8,62.0,11.8,38.2,37.0
Cool,Rotterdam,2021,55-64,Male,23.7,14.5,28.6,21.8,23.6,13.8,18.3,57.7,25.0,2.9,60.3,25.3,16.3,45.8,62.0,13.1,38.2,37.5
Cool,Rotterdam,2021,55-64,Female,23.6,16.7,26.2,24.5,24.7,15.2,18.7,56.8,26.1,2.9,59.4,27.1,16.0,43.0,62.0,14.6,38.3,36.3
Cool,Rotterdam,2022,55-64,Male,23.2,14.5,29.0,21.9,23.7,13.8,18.2,58.3,25.3,3.3,60.0,25.2,16.3,46.0,62.0,15.6,37.6,36.2
Cool,Rotterdam,2022,55-64,Female,23.1,17.3,25.9,24.3,24.6,15.7,18.7,57.2,26.3,3.2,59.3,26.6,16.5,42.8,62.0,12.8,39.9,37.9
CS-kwartier,Rotterdam,2018,18-24,Male,19.7,13.3,27.6,13.0,12.3,14.9,17.5,61.9,26.8,3.6,76.0,4.9,3.4,58.7,62.0,11.7,36.2,37.7
CS-kwartier,Rotterdam,2018,18-24,Female,18.8,17.3,25.2,16.0,13.8,16.2,18.9,61.4,27.1,4.8,74.6,6.4,3.2,55.3,62.0,14.1,38.8,36.7
CS-kwartier,Rotterdam,2019,18-24,Male,19.3,13.9,28.2,13.2,11.9,14.1,17.3,61.6,26.0,3.8,75.4,4.7,3.3,58.7,62.0,15.4,37.2,37.7
CS-kwartier,Rotterdam,2019,18-24,Female,18.8,17.3,25.5,15.9,13.4,16.2,19.1,61.0,28.0,4.7,74.0,6.5,2.7,55.0,62.0,11.8,37.7,38.1
CS-kwartier,Rotterdam,2020,18-24,Male,19.6,13.9,27.8,13.1,12.4,14.7,17.3,61.3,26.8,3.6,75.4,5.0,3.5,58.5,62.0,15.5,36.2,37.1
CS-kwartier,Rotterdam,2020,18-24,Female,18.9,17.2,25.2,15.6,13.2,15.9,19.4,61.0,27.3,4.7,74.8,6.2,2.9,55.8,62.0,14.7,39.9,37.6
CS-kwartier,Rotterdam,2021,18-24,Male,19.9,13.9,27.8,12.9,12.0,14.9,17.5,61.4,26.3,4.2,76.0,5.2,3.5,59.4,62.0,12.3,38.3,39.5
CS-kwartier,Rotterdam,2021,18-24,Female,19.4,17.0,25.3,15.7,13.8,16.7,19.4,60.6,27.3,4.6,74.5,6.4,3.5,55.7,62.0,12.7,40.0,37.9
CS-kwartier,Rotterdam,2022,18-24,Male,19.3,13.2,28.3,13.1,12.5,14.2,17.5,61.8,26.8,4.5,75.6,4.6,2.9,58.8,62.0,14.6,37.7,38.5
CS-kwartier,Rotterdam,2022,18-24,Female,19.3,16.7,25.1,15.7,13.7,16.6,19.0,61.3,27.1,4.4,74.8,6.7,2.8,55.3,62.0,14.4,39.8,39.2
CS-kwartier,Rotterdam,2018,25-34,Male,18.4,11.8,29.5,16.9,12.3,13.5,15.9,64.7,25.3,3.3,73.4,6.6,3.4,57.1,56.7,11.4,33.6,35.0
CS-kwartier,Rotterdam,2018,25-34,Female,18.6,16.0,27.9,18.9,13.3,14.6,17.0,63.4,27.1,3.5,72.2,8.5,2.5,54.9,60.1,11.4,36.9,35.1
CS-kwartier,Rotterdam,2019,25-34,Male,18.7,11.9,30.0,16.4,12.8,13.0,15.8,64.9,25.6,2.7,73.3,6.5,3.1,57.4,57.4,10.9,32.8,34.1
CS-kwartier,Rotterdam,2019,25-34,Female,18.6,15.7,27.3,19.2,12.6,15.3,17.7,63.4,27.4,3.8,72.6,7.9,3.0,54.3,62.0,11.1,36.5,38.9
CS-kwartier,Rotterdam,2020,25-34,Male,18.7,12.5,29.9,17.3,12.5,12.6,16.4,64.3,25.1,2.9,74.0,6.6,3.5,57.1,57.8,14.9,31.3,35.0
CS-kwartier,Rotterdam,2020,25-34,Female,18.7,15.9,27.3,19.1,12.5,15.2,17.4,63.2,27.6,3.0,72.8,8.1,2.6,54.0,62.0,11.5,38.2,36.6
CS-kwartier,Rotterdam,2021,25-34,Male,18.4,12.0,30.0,17.1,12.7,12.9,16.5,64.2,25.3,3.0,73.6,6.0,3.1,57.1,57.5,11.2,32.4,35.2
CS-kwartier,Rotterdam,2021,25-34,Female,18.2,16.0,27.3,19.2,13.1,14.8,17.1,63.3,28.0,3.3,72.8,8.2,2.6,54.6,61.8,14.7,36.3,38.2
CS-kwartier,Rotterdam,2022,25-34,Male,19.2,12.5,29.8,16.5,12.2,12.5,16.0,64.1,25.5,2.7,73.4,6.1,3.6,57.6,59.7,12.5,33.1,36.4
CS-kwartier,Rotterdam,2022,25-34,Female,18.2,15.5,27.6,19.1,13.0,14.8,17.9,63.3,27.6,3.1,72.4,7.6,3.2,54.0,61.8,11.6,38.3,38.6
CS-kwartier,Rotterdam,2018,35-44,Male,17.2,11.5,33.1,21.2,14.2,11.9,15.5,65.9,24.7,2.6,72.3,9.3,5.4,54.6,52.7,14.2,27.7,31.3
CS-kwartier,Rotterdam,2018,35-44,Female,17.6,13.5,30.7,23.9,15.1,13.1,16.3,64.2,25.8,3.4,71.6,10.6,5.0,51.4,58.1,11.3,32.8,32.9
CS-kwartier,Rotterdam,2019,35-44,Male,17.9,11.0,33.1,21.7,13.3,11.0,14.9,65.6,25.0,3.3,71.8,9.3,5.2,54.9,54.1,13.1,29.6,31.3
CS-kwartier,Rotterdam,2019,35-44,Female,17.9,13.9,30.5,23.7,14.6,13.8,16.4,64.1,26.3,3.1,71.1,10.4,4.9,52.1,56.3,10.9,32.5,33.8
CS-kwartier,Rotterdam,2020,35-44,Male,17.3,11.3,33.1,21.8,13.6,11.2,14.8,65.7,25.0,3.4,72.3,9.1,6.0,55.6,52.6,11.1,26.6,29.9
CS-kwartier,Rotterdam,2020,35-44,Female,18.3,13.3,30.7,24.1,15.3,13.4,16.3,64.5,25.7,3.4,70.8,10.7,4.4,52.2,55.7,10.3,32.7,33.2
CS-kwartier,Rotterdam,2021,35-44,Male,17.5,10.7,33.1,21.0,13.9,11.4,15.5,65.3,24.0,2.5,72.2,9.7,6.0,54.9,53.8,11.5,28.6,31.0
CS-kwartier,Rotterdam,2021,35-44,Female,18.4,13.4,30.3,24.3,15.2,13.1,16.9,64.1,26.3,2.8,71.4,10.9,5.2,52.1,59.8,13.6,32.7,35.2
CS-kwartier,Rotterdam,2022,35-44,Male,17.3,11.3,33.5,21.5,13.4,11.4,15.1,65.2,25.0,2.9,72.3,9.2,5.6,55.4,52.6,12.3,29.6,31.6
CS-kwartier,Rotterdam,2022,35-44,Female,17.9,14.1,31.1,23.7,14.9,13.7,16.9,64.5,26.2,3.5,71.0,10.7,5.3,52.0,57.4,10.2,33.1,32.9
CS-kwartier,Rotterdam,2018,45-54,Male,17.1,10.7,35.0,22.9,16.4,10.7,14.4,65.1,22.4,1.9,68.5,14.0,9.1,53.6,55.9,11.6,28.9,30.1
CS-kwartier,Rotterdam,2018,45-54,Female,17.9,12.7,32.6,25.6,17.4,13.8,14.8,63.5,23.7,3.2,67.5,16.0,8.3,50.4,62.0,11.7,35.8,34.8
CS-kwartier,Rotterdam,2019,45-54,Male,17.4,11.1,34.3,23.4,16.0,11.5,14.0,65.1,22.1,2.3,69.2,14.9,9.1,53.7,55.1,14.4,28.5,32.4
CS-kwartier,Rotterdam,2019,45-54,Female,18.2,12.6,32.4,25.8,16.9,13.5,14.8,63.8,23.6,2.8,67.5,15.5,8.8,50.8,59.5,10.5,32.9,35.2
CS-kwartier,Rotterdam,2020,45-54,Male,16.8,10.9,34.3,23.6,16.1,10.9,13.6,64.9,22.4,2.7,69.3,14.8,9.3,53.6,54.5,10.9,28.2,30.2
CS-kwartier,Rotterdam,2020,45-54,Female,18.3,13.3,32.7,25.7,17.5,13.2,14.5,64.1,23.8,2.3,67.6,15.6,8.3,50.9,59.5,14.3,33.1,33.7
CS-kwartier,Rotterdam,2021,45-54,Male,16.7,10.7,34.2,23.3,16.6,11.4,14.3,64.8,21.9,2.3,69.4,14.7,9.1,53.7,55.2,11.0,28.6,30.3
CS-kwartier,Rotterdam,2021,45-54,Female,17.6,12.8,32.3,25.4,17.2,13.8,14.4,63.9,23.5,2.4,67.3,15.5,8.3,51.0,59.3,16.2,33.4,33.3
CS-kwartier,Rotterdam,2022,45-54,Male,16.9,10.4,34.1,23.4,16.1,11.1,13.8,64.8,22.4,2.7,68.6,14.5,9.6,53.6,56.0,15.7,28.8,31.9
CS-kwartier,Rotterdam,2022,45-54,Female,18.3,13.1,32.1,25.5,17.0,13.7,14.5,63.9,23.3,2.4,68.0,15.7,8.3,50.8,60.1,12.0,34.9,34.9
